content,sentiment,decision_source,cleaned_content
"Here is what Jayson Gillham's said on his Sunday August 11 performance that outraged @MelbSymphony's Zionist donors. Two of the pieces Jayson played were a cry against injustice and oppression. The first was by Hungarian Jewish composer and holocaust survivor Ligeti. Jayson introduced the piece explaining how Ligeti was twice oppressed as a Hungarian in Romania and as a Jew and how he was forced into a labor camp and survived Auschwitz etc... The second piece was a last minute addition to the program, 'Witness' new work by Aust composer Connor D'Netto dedicated to the journalists of Gaza. Jayson introduced this piece by saying in the last 10 months Israel killed over 100 journalists a number were a targeted assassinations. This is a war crime. Journalists were targeted to prevent them from documenting and broadcasting of war crimes. Witness in Arabic means Shahid - from the same root word as Shaheed which means martyr. So there you have it. Two introductions one applauded the other might cost his career. This is what discrimination and privilege look like.  #Palestine #MSO #Gaza #Israel #GazaGenocide",Positive,Pro user,jayson gillham say sunday august performance outrage user zionist donor piece jayson play cry injustice oppression hungarian jewish composer holocaust survivor ligeti jayson introduce piece explain ligeti twice oppress hungarian romania jew force labor camp survive auschwitz etc second piece minute addition program witness new work aust composer connor dedicate journalist gaza jayson introduce piece say month israel kill journalist number targeted assassination war crime journalist target prevent documenting broadcasting war crime witness arabic mean shahid root word shaheed mean martyr introduction applaud cost career discrimination privilege look like
"Lisa, one of our non-violent direct action trainers, has been training #FreedomFlotilla participants: ""There's no room for violence in these missions & in trying to build the world that we want"". #BreakTheSiege #nonviolence #FreePalestine #ffc  #EndTheBlockade #AllEyesOnDeck",Positive,Pro user,lisa non violent direct action trainer train participant room violence mission try build world want
"It's not simply, ""Palestinians are dying in Gaza.""

It's more precisely, ""Palestinians are being mass executed in Gaza by the Israel military, with full blessing by the US government, and the bullets are being subsidized by US tax dollars.""",Positive,User agreement,simply palestinians die gaza precisely palestinians mass execute gaza israel military blessing government bullet subsidize tax dollar
"Sam Newman, Tom Sewell and Blair Cottrell?Yes fucking please, thank you very much.Huge strides already a month into 2025, these boys have a running theme of common W's.",Irrelevant,Pro user,sam newman tom sewell blair fucking thank stride month boy running theme common w
"""Saar, Aborogine land, saar. Please let me and my 86 immediate family members fly out from Calcutta, saar. We need to enrol in fake vocational colleges to deliver Uber Eats, saar. Invasion Day saar we sublet a 2 bedroom to 38 people, saar.""",Irrelevant,User agreement,saar aborogine land saar let immediate family member fly calcutta saar need enrol fake vocational college deliver uber eat saar invasion day saar sublet bedroom people saar
The Australian media should be alarmed at the unprecedented level of censorship of culture by government acting at the behest of the #Zionist lobby. Gutless organisations like @creative_gov_au @StateLibraryVic and @MelbSymphony,Positive,Pro user,australian medium alarm unprecedented level censorship culture government act behest lobby gutless organisation like user user user
@QudsNen Is this the type of world we want to live on .when one race can do this to innocent Palestinians and the world sit there and does nothing. The International Courts are useless .History will be written on the side of Palestine .,Positive,Pro user,user type world want live race innocent palestinians world sit international court useless write palestine
When a Palestinian scores a goal for their national football team no one cries or scowls or boos or protests despite October 7 and the decades of war and terror inflicted by Palestinian leaders and terrorist groups. When an Iranian weightlifter wins gold no one thinks about the regime's persecution of the B'hai. They admire a strong athlete. But when a 20 year old Israeli sings in a song contest people hope she suffers some ritual humiliation and then have the audacity to claim the moral high ground.,Negative,Pro user,palestinian score goal national football team cry scowl boo protest despite october decade war terror inflict palestinian leader terrorist group iranian weightlifter win gold think regime persecution admire strong athlete year old israeli sing song contest people hope suffer ritual humiliation audacity claim moral high ground
"@joeldavisx FUCK THE JACKS

JEWS HATE FREEDOM

JOEL DAVIS WHITE POWER",Positive,User agreement,user fuck jack jews hate freedom joel davis white power
"You're not imagining it. Companies really are shrinking products to charge you more for less.

So here's what we'll do.",Irrelevant,User agreement,imagine company shrink product charge
The inevitable collapse of human civilisation due to the insatiable greed of a few rich people,Irrelevant,Pro user,inevitable collapse human civilisation insatiable greed rich people
"@gumby4christ @_whitneywebb Whitney Webb reposted it so I Beleive it. Trump coin, giving the Jews the right to take labd houses and basically lives from West Bank citizens. Antichrist doing his thing...",Positive,User agreement,user user whitney webb reposte beleive trump coin give jews right labd house basically live west bank citizen antichrist thing
"Anyone that disagrees with Israel is 'Khamas'. 

Last week, Israel said South Africa is Khamas. Three days ago, they said Turkey is Khamas. Palestinians are Khamas. Lebanon is Khamas. Houthis are Khamas' best buddies. Pro-Palestinians are Khamas.

Might as well check our homes, might find Khamas hiding in our washing machines.",Positive,Pro user,disagree israel khama week israel say south africa khama day ago say turkey khama palestinians khama lebanon khama houthis khama good buddy pro palestinians khama check home find khama hide washing machine
